//<Creator>https://gliders.ioos.us/erddap/</Creator>
//<CreateTime>2023-02-17T23:08:49</CreateTime>
//<Encoding>UTF-8</Encoding>
//<Software>ERDDAP - Version 2.18</Software>
//<Source>https://gliders.ioos.us/erddap/tabledap/ud_476-20180501T1640.html</Source>
//<Version>ODV Spreadsheet V4.6</Version>
//<DataField>GeneralField</DataField>
//<DataType>Profiles</DataType>
//<MetaVariable>label="Cruise" value_type="INDEXED_TEXT" is_primary_variable="F" comment="A trajectory is one deployment of a glider." </MetaVariable>
//<MetaVariable>label="Station" value_type="INDEXED_TEXT" is_primary_variable="F" </MetaVariable>
//<MetaVariable>label="Type" value_type="TEXT:2" is_primary_variable="F" </MetaVariable>
//<MetaVariable>label="yyyy-mm-ddThh:mm:ss.sss" value_type="DOUBLE" is_primary_variable="F" comment="Time" </MetaVariable>
//<MetaVariable>label="Longitude [degrees_east]" value_type="DOUBLE" is_primary_variable="F" comment="Value is interpolated to provide an estimate of the longitude at the mid-point of the profile." </MetaVariable>
//<MetaVariable>label="Latitude [degrees_north]" value_type="DOUBLE" is_primary_variable="F" comment="Value is interpolated to provide an estimate of the latitude at the mid-point of the profile." </MetaVariable>
//<MetaVariable>label="wmo_id" value_type="INDEXED_TEXT" is_primary_variable="F" comment="WMO ID" </MetaVariable>
//<MetaVariable>label="profile_id" value_type="INTEGER" is_primary_variable="F" comment="Sequential profile number within the trajectory.  This value is unique in each file that is part of a single trajectory/deployment." </MetaVariable>
//<DataVariable>label="time_ISO8601" value_type="DOUBLE" is_primary_variable="T" comment="Timestamp corresponding to the mid-point of the profile." </DataVariable>
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	wmo_id	profile_id	time_ISO8601
ud_476-20180501T1640		*		-132.02009655574903	22.61253484276352	5801910	1	2018-05-01T16:55:52.933Z
ud_476-20180501T1640		*		-132.0198551766343	22.613649391942023	5801910	2	2018-05-01T17:06:05.806Z
ud_476-20180501T1640		*		-132.02145105382544	22.614080779557824	5801910	3	2018-05-01T17:28:04.611Z
ud_476-20180501T1640		*		-132.02059853771854	22.61485341791293	5801910	4	2018-05-01T17:37:59.391Z
ud_476-20180501T1640		*		-132.02385762569045	22.614960698395297	5801910	5	2018-05-01T18:16:25.891Z
ud_476-20180501T1640		*		-132.0235248319201	22.6159611180625	5801910	6	2018-05-01T18:26:09.377Z
ud_476-20180501T1640		*		-132.02518612833018	22.616461011754055	5801910	7	2018-05-01T19:00:27.898Z
ud_476-20180501T1640		*		-132.0222731618057	22.618409829355294	5801910	8	2018-05-01T19:21:19.695Z
ud_476-20180501T1640		*		-132.02121500294456	22.62068046272655	5801910	9	2018-05-01T19:54:24.471Z
ud_476-20180501T1640		*		-132.0194621976863	22.623899385051317	5801910	10	2018-05-01T20:14:57.663Z
ud_476-20180501T1640		*		-132.0203018163251	22.62622228094868	5801910	11	2018-05-01T21:09:19.481Z
ud_476-20180501T1640		*		-132.0179903189189	22.629340596338075	5801910	12	2018-05-01T21:30:17.408Z
ud_476-20180501T1640		*		-132.01569565045338	22.632589500441718	5801910	13	2018-05-01T22:16:48.934Z
ud_476-20180501T1640		*		-132.01098929989533	22.637401132436178	5801910	14	2018-05-01T22:52:32.687Z
ud_476-20180501T1640		*		-132.0095744570642	22.640814958407493	5801910	15	2018-05-01T23:49:24.853Z
ud_476-20180501T1640		*		-132.00678737011873	22.646280649092937	5801910	16	2018-05-02T00:25:04.928Z
